
# Page 25 Column 1
kabret cabaret
ke~tus courteous
ke~tse courtesy
kote~ courtier
koten courtliness
kote courtly
kot-marsh courtmartial
kotsh courtship
kusn cousin
kusne cousinly

# Page 45 Column 3
kuv cove
kuvn covenant
kuvne covenantee
kuvn^r covenanter
kuvntre coventry
kv cover
kvlet coverlet
kuve~t covert
kuve~t-n covertness
kuvt covet
kuvtus covetous
kau cow
kaud coward
kaudes cowardice
kauden cowardliness
kaur cower
koxkom coxcomb
koxsa_n coxswain
koe coy
ka&ete coyote
koze| cozily
? kozen coziness
koze cozy
krab crab
krak crack
krakt cracked
krakr cracker

# Page 46 Column 1
krakl crackle
kradl cradle
kraft craft
kraften craftiness
kram cram
kramp cramp
kranbre cranberry
kran crane
kranl cranial
kran^o( craniology
kranem cranium
krank crank
krane cranny
krap crape
krash crash
krat crate
krate~ crater
kravat cravat
krav crave
kravn craven
krol crawl
kra,n crayon
kraz, craze
? krazen craziness
kraze crazy
krek creak
krem cream

# Page 46 Column 2
kremre creamery
kremen creaminess
kres crease
kra&'tb creatable
kra&'t create
kra&'sh creation
kra&'tv creative
kra&'tr creator
kretr creature
kredns credence
krednsh credential
kred^b credibility
kredb credible
kre credit
kre^b creditable
kre^r creditor
kred^l credulity
kredu credulous
kred creed
krek creek
krep creep
krepr creeper
? krepen creepiness
kremat cremate
kremsh cremation
krematre crematory
kreol creole

# Page 46 Column 3
kresot creosote
krept crept
kreshndo crescendo
kresent crescent
kres cress
krest crest
krestfon crestfallen
kreton cretonne
kreves crevice
kru crew
kreb crib
krebj cribbage
kreket cricket
krir crier
krim crime
kremn criminal
kremnat criminate
kremp crimp
kremsn crimson
krenj cringe
krenkl crinkle
krepl cripple
krises crises
kriss crisis
kresp crisp
kreskrs crisscross
kriter criterion

# Page 47 Column 1
kr^a critic
kr^a| critical
kretss criticise
kretss criticism
krok croak
krosha crochet
krok crock
krokre crockery
krokdil crocodile
krokus crocus
kress Croesus
kron crone
krone crony
kruk crook
krp crop
kroka, croquet
kroket croquette
kros cross
kroch crotch
krochet crotchet
krauch crouch
kro crow
krau crowd
krn crown
krnd crowned
krnl crownless
krshl crucial

# Page 47 Column 2
krsb crucible
krsfex crucifix
krsf crucify
krud crude
krud-n crudeness
krudte crudity
krul cruel
kru^l cruelty
krus cruise
krusr cruiser
krm crumb
krmb crumble
krmp crumple
krnch crunch
krusad crusade
krsh crush
krust crust
kruste| crustily
krusten crustiness
kri cry
kreptek cryptic
krept^g cryptogram
krestl crystal
krestlezsh crystallization
krestliz crystallize
keuba Cuba
keubn Cuban

# Page 47 Column 3
keub cube
keubeb cubeb
keubk cubic
keub^k cubicle
keubes cubist
keubt cubit
kuku cuckoo
keukm cucumber
kujl cudgel
keu cue
kuf cuff
ke_sen cuisine
keulen culinary
kul cull
kulmn culminate
kulmnsh culmination
klp^b culpability
klpb culpable
klpret culprit
klt cult
klvat cultivate
klvash cultivation
klchul cultural
klchu culture
klve~t culvert
kmbrsm cumbersome
kmbrus cumbrous

# Page 48 Column 1
keum^u cumulate
keum^ush cumulation
keum^uv cumulative
kn' cunning
kn^e cunningly
kup cup
kube~d cupboard
kupf cupful
keupd cupid
keupdte cupidity
keupla cupola
keu^b curable
keurat curate
keu^v curative
keuratr curator
krb curb
ke~d curd
ke~dl curdle
keu cure
krfeu curfew
keureo curio
keu^s) curiosity
keu curious
krl curl

# Page 48 Column 2
krnse currency
ke~nt current
kurek curriculum
kured curried
kurer currier
kure curry
kurs curse
krsv cursive
krsore cursory
ke~t curt
ke~tal curtail
ke~tn curtain
ke~t-n curtness
krvtr curvature
krv curve
krvlena&'~ curvilinear
kush cushion
kusta~d custard
kustda&'n custodian
kustde custody
kus custom
kus^re customary
kus^r customer

# Page 48 Column 3
kus'us customhouse
kut cut
keutnus cutaneous
kuta_ cutaway
keut cute
keut^k cuticle
keutek cuticular
ktlas cutlass
ktlre cutlery
ktau cut-out
sikl cycle
sikl^k cyclical
siklon cyclone
siklop cyclopedia
selend cylinder
selend^k cylindrical
senek cynic
sen^k cynical
senssm cynicism
senoshu cynosure
sipres cypress
z,ar czar
z,arena Czarina
